,AtomicNumber,Symbol,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,NOuter,Rvdw,MostCommonIsotope,IsotopeLabel
103,104,Rf,Rutherfordium,267.122,CC0059,[Rn]7s2 5f14 6d2,,150.0,,,+4,Solid,,,,Transition metal,1964,2,2.0,267,Rutherfordium-267
104,105,Db,Dubnium,268.126,D1004F,[Rn]7s2 5f14 6d3,,139.0,,,,Solid,,,,Transition metal,1967,2,2.0,268,Dubnium-268
105,106,Sg,Seaborgium,271.134,D90045,[Rn]7s2 5f14 6d4,,132.0,,,,Solid,,,,Transition metal,1974,2,2.0,271,Seaborgium-271
106,107,Bh,Bohrium,274.144,E00038,[Rn]7s2 5f14 6d5,,128.0,,,,Solid,,,,Transition metal,1976,2,2.0,270,Bohrium-270
107,108,Hs,Hassium,277.152,E6002E,[Rn]7s2 5f14 6d6,,126.0,,,,Solid,,,,Transition metal,1984,2,2.0,269,Hassium-269
108,109,Mt,Meitnerium,278.156,EB0026,[Rn]7s2 5f14 6d7 (calculated),,128.0,,,,Solid,,,,Transition metal,1982,2,2.0,278,Meitnerium-278
109,110,Ds,Darmstadtium,281.165,,[Rn]7s2 5f14 6d8 (predicted),,132.0,,,,Expected to be a Solid,,,,Transition metal,1994,2,2.0,281,Darmstadtium-281
110,111,Rg,Roentgenium,282.169,,[Rn]7s2 5f14 6d9 (predicted),,138.0,,,,Expected to be a Solid,,,,Transition metal,1994,2,2.0,281,Roentgenium-281
111,112,Cn,Copernicium,285.177,,[Rn]7s2 5f14 6d10 (predicted),,147.0,,,,Expected to be a Solid,,,,Transition metal,1996,2,2.0,285,Copernicium-285
112,113,Nh,Nihonium,286.183,,[Rn]5f14 6d10 7s2 7p1 (predicted),,170.0,,,,Expected to be a Solid,,,,Post-transition metal,2004,2,2.0,284,Nihonium-284
113,114,Fl,Flerovium,289.191,,[Rn]7s2 7p2 5f14 6d10 (predicted),,180.0,,,,Expected to be a Solid,,,,Post-transition metal,1998,2,2.0,289,Flerovium-289
114,115,Mc,Moscovium,290.196,,[Rn]7s2 7p3 5f14 6d10 (predicted),,187.0,,,,Expected to be a Solid,,,,Post-transition metal,2003,2,2.0,288,Moscovium-288
115,116,Lv,Livermorium,293.205,,[Rn]7s2 7p4 5f14 6d10 (predicted),,183.0,,,,Expected to be a Solid,,,,Post-transition metal,2000,2,2.0,293,Livermorium-293
116,117,Ts,Tennessine,294.211,,[Rn]7s2 7p5 5f14 6d10 (predicted),,138.0,,,,Expected to be a Solid,,,,Halogen,2010,2,2.0,292,Tennessine-292
117,118,Og,Oganesson,294.214,,[Rn]7s2 7p6 5f14 6d10 (predicted),,,,,,Expected to be a Gas,,,,Noble gas,2006,2,2.0,294,Oganesson-294
